Industry,City,State,Zip Code,Latitude,Longitude,Major 1,Major 2,Major 3,Major 4,Major 5,Class Year,Class Year Date
Homemaking,Tucson,AZ,85718,32.3389931,-110.9268201,French,,,,,1976,1/1/1976
Sciences,Tucson,AZ,85718,32.3389931,-110.9268201,Chemistry,,,,,1959,1/1/1959
Social Service,Tucson,AZ,85719,32.2546522,-110.9447027,Economics,,,,,2007,1/1/2007
Student,Tucson,AZ,85719,32.2546522,-110.9447027,Chemistry,Mathematics,,,,2015,1/1/2015
Business and Commerce,Tucson,AZ,85730,32.1772542,-110.7956878,No Major,,,,,1962,1/1/1962
Engineering,Tucson,AZ,85737,32.4044445,-110.9864294,No Major,,,,,1953,1/1/1953
Communications and Media,Tucson,AZ,85739,32.6683735,-111.022196,No Major,,,,,1977,1/1/1977
Environment and Recreation,Tucson,AZ,85741,32.3312255,-111.0341183,Geology,,,,,1976,1/1/1976
Environment and Recreation,Tucson,AZ,85741,32.3312255,-111.0341183,No Major,,,,,1976,1/1/1976
Education,Tucson,AZ,85742,32.3920076,-111.0579632,No Major,,,,,1962,1/1/1962
Healthcare,Tucson,AZ,85742,32.3920076,-111.0579632,Biology,,,,,1974,1/1/1974
Other,Tucson,AZ,85742,32.3920076,-111.0579632,No Major,,,,,1964,1/1/1964
Military/Protective Services,Tucson,AZ,85746,32.1057222,-111.022196,No Major,,,,,1979,1/1/1979
Homemaking,Tucson,AZ,85747,32.1114393,-110.7360863,No Major,,,,,1953,1/1/1953
Student,Tucson,AZ,85747,32.1114393,-110.7360863,Music,,,,,2009,1/1/2009
Healthcare,Tucson,AZ,85749,32.2850828,-110.7360863,Psychology,,,,,2000,1/1/2000
Legal Professions,Tucson,AZ,85749,32.2850828,-110.7360863,Biology,,,,,1975,1/1/1975
Marketing,Tucson,AZ,85749,32.2850828,-110.7360863,Biology,,,,,1974,1/1/1974
Other,Oro Valley,AZ,85755,32.4606031,-110.9745074,Economics,,,,,1967,1/1/1967
Research and Development,Oro Valley,AZ,85755,32.4606031,-110.9745074,No Major,,,,,1963,1/1/1963
Healthcare,Flagstaff,AZ,86001,35.1982836,-111.651302,English,,,,,1988,1/1/1988
Fundraising,Flagstaff,AZ,86004,35.1982836,-111.651302,Psychology,,,,,1996,1/1/1996
"Libraries, Archives, and Museums",Flagstaff,AZ,86004,35.1982836,-111.651302,English,,,,,1974,1/1/1974
Planning,Flagstaff,AZ,86004,35.1982836,-111.651302,Sociology,Anthropology,,,,1985,1/1/1985
Sciences,Flagstaff,AZ,86004,35.1982836,-111.651302,Physics,,,,,1974,1/1/1974
Environment and Recreation,Grand Canyon,AZ,86023,36.0544445,-112.1401108,Biology,,,,,1980,1/1/1980
Environment and Recreation,Page,AZ,86040,36.9147222,-111.4558333,Classics,,,,,1987,1/1/1987
Social Service,Prescott,AZ,86302,34.75,-112.83,No Major,,,,,1952,1/1/1952
Counseling,Prescott,AZ,86305,34.766891,-113.0965064,English,,,,,1978,1/1/1978
Communications and Media,Sedona,AZ,86336,34.8697395,-111.7609896,Art History,,,,,1971,1/1/1971
Healthcare,Sedona,AZ,86336,34.8697395,-111.7609896,No Major,,,,,1962,1/1/1962
Computers/IT,Sedona,AZ,86339,34.87,-111.76,No Major,,,,,1979,1/1/1979
"Banking, Finance, and Investment",Sedona,AZ,86351,34.8697395,-111.7609896,Economics,Philosophy,,,,1979,1/1/1979
"Libraries, Archives, and Museums",Sedona,AZ,86351,34.8697395,-111.7609896,Studio Art,,,,,1969,1/1/1969
"Building, Trades, and Crafts",Lake Havasu City,AZ,86406,34.483901,-114.3224548,No Major,,,,,1970,1/1/1970
Arts and Design,Los Angeles,CA,90004,34.0748887,-118.3082034,Art History,,,,,2005,1/1/2005
Performing Arts,Los Angeles,CA,90004,34.0748887,-118.3082034,Spanish,,,,,1974,1/1/1974
Real Estate,Los Angeles,CA,90004,34.0748887,-118.3082034,Economics,,,,,1983,1/1/1983
Social Service,Los Angeles,CA,90004,34.0748887,-118.3082034,Latin American Studies,,,,,1978,1/1/1978
Student,Los Angeles,CA,90004,34.0748887,-118.3082034,Art History,,,,,2007,1/1/2007
Marketing,Los Angeles,CA,90005,34.0578814,-118.3096648,History,,,,,1997,1/1/1997
Performing Arts,Los Angeles,CA,90005,34.0578814,-118.3096648,English,,,,,2006,1/1/2006
Student,Los Angeles,CA,90012,34.0653347,-118.243891,Biology,Biochemistry,,,,2006,1/1/2006
Legal Professions,Los Angeles,CA,90015,34.0390107,-118.2672801,Political Science,,,,,1999,1/1/1999
Arts and Design,Los Angeles,CA,90016,34.0255188,-118.3520389,English,,,,,1978,1/1/1978
Education,Los Angeles,CA,90016,34.0255188,-118.3520389,Undecided,English,,,,1989,1/1/1989
"Libraries, Archives, and Museums",Los Angeles,CA,90019,34.0489277,-118.3403506,Art History,Studio Art,,,,2000,1/1/2000
Education,Los Angeles,CA,90020,34.0655627,-118.3096648,Chemistry,,,,,2014,1/1/2014
Communications and Media,Los Angeles,CA,90024,34.0631451,-118.4367551,Studio Art,Cinema and Media Studies,,,,2006,1/1/2006
Student,Los Angeles,CA,90024,34.0631451,-118.4367551,Undecided,,,,,1985,1/1/1985
"Libraries, Archives, and Museums",Los Angeles,CA,90025,34.0448583,-118.4484367,No Major,,,,,1970,1/1/1970
Marketing,Los Angeles,CA,90025,34.0448583,-118.4484367,Computer Science,,,,,2000,1/1/2000
Sciences,Los Angeles,CA,90025,34.0448583,-118.4484367,Chemistry,,,,,2011,1/1/2011
Business and Commerce,Los Angeles,CA,90026,34.0796167,-118.2585096,No Major,,,,,1982,1/1/1982
Communications and Media,Los Angeles,CA,90026,34.0796167,-118.2585096,English,,,,,2012,1/1/2012
Research and Development,Los Angeles,CA,90026,34.0796167,-118.2585096,Psychology,,,,,2004,1/1/2004
Social Service,Los Angeles,CA,90026,34.0796167,-118.2585096,American Studies,,,,,2005,1/1/2005
Communications and Media,Los Angeles,CA,90027,34.1220545,-118.2935891,English,,,,,2004,1/1/2004
Communications and Media,Los Angeles,CA,90027,34.1220545,-118.2935891,Art History,Literature and Film Studies,,,,1990,1/1/1990
Computers/IT,Los Angeles,CA,90027,34.1220545,-118.2935891,Morgan Fellow,,,,,1991,1/1/1991
Education,Los Angeles,CA,90027,34.1220545,-118.2935891,English,,,,,2006,1/1/2006
Communications and Media,Hollywood,CA,90028,34.1012181,-118.325739,English,,,,,2009,1/1/2009
Other,Los Angeles,CA,90028,34.1012181,-118.325739,No Major,,,,,1980,1/1/1980
Arts and Design,Los Angeles,CA,90029,34.0880507,-118.2965121,French,,,,,2014,1/1/2014
Planning,Los Angeles,CA,90029,34.0880507,-118.2965121,Art History,,,,,1966,1/1/1966
Business and Commerce,Los Angeles,CA,90031,34.081032,-118.2117257,Economics,,,,,1979,1/1/1979
Environment and Recreation,Los Angeles,CA,90034,34.0324632,-118.395863,Biology,,,,,2005,1/1/2005
Research and Development,Los Angeles,CA,90034,34.0324632,-118.395863,No Major,,,,,1996,1/1/1996
Sciences,Los Angeles,CA,90034,34.0324632,-118.395863,Neuroscience,,,,,2005,1/1/2005
Arts and Design,Los Angeles,CA,90035,34.050751,-118.3841777,English,,,,,2004,1/1/2004
Arts and Design,Los Angeles,CA,90036,34.0664817,-118.3520389,No Major,,,,,1993,1/1/1993
Clergy and Religious Leadership,Los Angeles,CA,90036,34.0664817,-118.3520389,Economics,,,,,1991,1/1/1991
Performing Arts,Los Angeles,CA,90036,34.0664817,-118.3520389,Art History,,,,,1977,1/1/1977
Arts and Design,Los Angeles,CA,90039,34.1103407,-118.2585096,Sociology,Anthropology,,,,2009,1/1/2009
Performing Arts,Los Angeles,CA,90039,34.1103407,-118.2585096,Biology,,,,,2003,1/1/2003
Student,Los Angeles,CA,90039,34.1103407,-118.2585096,Philosophy,,,,,2005,1/1/2005
Arts and Design,Los Angeles,CA,90041,34.1322469,-118.2117257,History,French,Media Studies,,,1993,1/1/1993
Arts and Design,Los Angeles,CA,90042,34.1175895,-118.188329,Studio Art,Religion,,,,2013,1/1/2013
Fundraising,Los Angeles,CA,90042,34.1175895,-118.188329,American Studies,Educational Studies,,,,2012,1/1/2012
"Libraries, Archives, and Museums",Los Angeles,CA,90042,34.1175895,-118.188329,No Major,,,,,1967,1/1/1967
Sciences,Los Angeles,CA,90042,34.1175895,-118.188329,Environmental Studies,,,,,2013,1/1/2013
Education,Los Angeles,CA,90043,33.9903827,-118.3286614,English,,,,,2012,1/1/2012
Arts and Design,Los Angeles,CA,90046,34.1147313,-118.3637264,Cinema and Media Studies,Economics,,,,2011,1/1/2011
Sciences,West Hollywood,CA,90046,34.1147313,-118.3637264,Biology,,,,,2003,1/1/2003
"Banking, Finance, and Investment",Los Angeles,CA,90049,34.0963058,-118.4980744,English,,,,,1969,1/1/1969
Communications and Media,Los Angeles,CA,90049,34.0963058,-118.4980744,English,,,,,1960,1/1/1960
Legal Professions,Los Angeles,CA,90049,34.0963058,-118.4980744,History,,,,,2003,1/1/2003
Public Service,Los Angeles,CA,90049,34.0963058,-118.4980744,Physics,,,,,2019,1/1/2019
Education,Los Angeles,CA,90062,34.0031792,-118.3082034,English,,,,,1970,1/1/1970
Arts and Design,Los Angeles,CA,90065,34.10885,-118.2234229,Economics,,,,,1987,1/1/1987
Sciences,Los Angeles,CA,90065,34.10885,-118.2234229,Chemistry,Biochemistry,,,,2004,1/1/2004
Student,Los Angeles,CA,90065,34.10885,-118.2234229,Philosophy,,,,,2000,1/1/2000
Student,Los Angeles,CA,90065,34.10885,-118.2234229,Political Science,,,,,1984,1/1/1984
Environment and Recreation,Mar Vista,CA,90066,34.0050173,-118.4338345,No Major,,,,,1973,1/1/1973
Other,Los Angeles,CA,90066,34.0050173,-118.4338345,Political Science,,,,,1988,1/1/1988
Performing Arts,Los Angeles,CA,90066,34.0050173,-118.4338345,American Studies,,,,,1984,1/1/1984
Research and Development,Los Angeles,CA,90066,34.0050173,-118.4338345,Sociology,Anthropology,,,,1996,1/1/1996
Social Service,Los Angeles,CA,90066,34.0050173,-118.4338345,Political Science,,,,,2003,1/1/2003
Social Service,Los Angeles,CA,90066,34.0050173,-118.4338345,Philosophy,,,,,1995,1/1/1995
Sports,Los Angeles,CA,90066,34.0050173,-118.4338345,Asian Studies,,,,,2008,1/1/2008
Arts and Design,Los Angeles,CA,90068,34.1235157,-118.3286614,Cinema and Media Studies,,,,,2012,1/1/2012
Communications and Media,Los Angeles,CA,90068,34.1235157,-118.3286614,English,,,,,1982,1/1/1982
Student,Los Angeles,CA,90068,34.1235157,-118.3286614,English,,,,,2001,1/1/2001
Marketing,West Hollywood,CA,90069,34.0931603,-118.3783347,American Studies,,,,,2000,1/1/2000
Healthcare,Los Angeles,CA,90077,34.1014861,-118.4571974,Biology,Greek,,,,1966,1/1/1966
Student,Beverly Hills,CA,90212,34.0617109,-118.4017053,No Major,,,,,1974,1/1/1974
Other,Culver City,CA,90230,33.9933257,-118.3987842,Sociology,Anthropology,,,,1983,1/1/1983
Public Service,Culver City,CA,90230,33.9933257,-118.3987842,American Studies,Educational Studies,,,,2005,1/1/2005
Arts and Design,Culver City,CA,90232,34.0236878,-118.3900204,Japanese,,,,,1998,1/1/1998
"Banking, Finance, and Investment",Hermosa Beach,CA,90254,33.8622366,-118.3995194,Economics,,,,,1986,1/1/1986
Social Sciences,Hermosa Beach,CA,90254,33.8622366,-118.3995194,Economics,,,,,1992,1/1/1992
Real Estate,Lawndale,CA,90260,33.8922687,-118.3520389,No Major,,,,,1994,1/1/1994
"Banking, Finance, and Investment",Manhattan Beach,CA,90266,33.8847361,-118.4109089,American Studies,,,,,1998,1/1/1998
Computers/IT,Manhattan Beach,CA,90266,33.8847361,-118.4109089,Mathematics,,,,,1968,1/1/1968
Computers/IT,Manhattan Beach,CA,90266,33.8847361,-118.4109089,No Major,,,,,1962,1/1/1962
